cpu_percent,mem_percent,time_stamp
6.2,57.9,2020-10-21 17:38:13.022305
47.1,58.3,2020-10-21 17:38:14.031550
0.0,58.2,2020-10-21 17:38:15.044885
10.0,58.2,2020-10-21 17:38:16.056199
0.0,58.2,2020-10-21 17:38:17.065674
85.7,58.3,2020-10-21 17:38:18.076088
0.0,58.2,2020-10-21 17:38:19.087180
0.0,58.1,2020-10-21 17:38:20.101038
0.0,58.1,2020-10-21 17:38:21.110847
0.0,58.2,2020-10-21 17:38:22.122997
100.0,58.2,2020-10-21 17:38:23.342649
0.0,59.7,2020-10-21 17:38:24.411459
25.0,60.8,2020-10-21 17:38:25.414341
0.0,61.3,2020-10-21 17:38:26.429675
0.0,58.8,2020-10-21 17:38:27.462411
0.0,58.1,2020-10-21 17:38:28.469236
0.0,57.8,2020-10-21 17:37:59.093323
50.0,57.9,2020-10-21 17:38:00.099293
0.0,57.9,2020-10-21 17:38:01.110506
0.0,57.8,2020-10-21 17:38:02.124702
0.0,57.9,2020-10-21 17:38:03.137249
25.0,57.9,2020-10-21 17:38:04.140297
25.0,57.9,2020-10-21 17:38:05.147972
12.5,58.0,2020-10-21 17:38:06.157906
25.0,57.7,2020-10-21 17:38:07.170596
12.5,57.8,2020-10-21 17:38:08.179517
8.3,57.8,2020-10-21 17:38:09.189889
0.0,57.8,2020-10-21 17:38:10.191277
25.0,57.8,2020-10-21 17:38:11.201899
41.7,57.8,2020-10-21 17:38:12.221766
12.5,57.8,2020-10-21 17:38:13.223223
8.3,57.9,2020-10-21 17:38:14.235810
0.0,58.1,2020-10-21 17:38:15.236668
12.5,58.1,2020-10-21 17:38:16.243533
0.0,58.1,2020-10-21 17:38:17.253424
0.0,58.8,2020-10-21 17:38:18.259058
46.3,58.1,2020-10-21 17:38:19.264191
0.0,58.1,2020-10-21 17:38:20.272542
56.5,58.2,2020-10-21 17:38:21.281918
0.0,58.3,2020-10-21 17:38:22.290865
100.0,58.2,2020-10-21 17:38:23.343644
0.0,59.7,2020-10-21 17:38:24.411459
0.0,60.8,2020-10-21 17:38:25.414341
0.0,61.3,2020-10-21 17:38:26.428676
0.0,58.8,2020-10-21 17:38:27.462411
0.0,58.1,2020-10-21 17:38:28.469236
0.0,57.5,2020-10-21 17:37:54.972480
50.0,57.6,2020-10-21 17:37:55.988559
30.0,57.7,2020-10-21 17:37:56.996939
20.0,57.8,2020-10-21 17:37:58.004675
38.1,57.7,2020-10-21 17:37:59.014833
55.0,57.9,2020-10-21 17:38:00.022746
5.0,57.8,2020-10-21 17:38:01.032529
16.0,57.8,2020-10-21 17:38:02.052210
20.8,57.9,2020-10-21 17:38:03.058769
12.5,57.9,2020-10-21 17:38:04.063243
12.5,58.0,2020-10-21 17:38:05.069849
20.8,58.0,2020-10-21 17:38:06.080207
25.0,57.8,2020-10-21 17:38:07.098064
12.5,57.7,2020-10-21 17:38:08.100423
25.0,57.7,2020-10-21 17:38:09.107212
40.0,57.8,2020-10-21 17:38:10.124929
25.0,57.8,2020-10-21 17:38:11.140112
28.6,57.8,2020-10-21 17:38:12.154025
17.9,57.8,2020-10-21 17:38:13.160983
17.9,57.9,2020-10-21 17:38:14.169864
32.1,58.1,2020-10-21 17:38:15.179701
10.7,58.2,2020-10-21 17:38:16.182117
